Age,qx,time_unit,subphylum
0,0.14584949573312644,years,VertNonMammal
1,0.08174386920980925,years,VertNonMammal
2,0.03956478733926805,years,VertNonMammal
3,0.01750772399588052,years,VertNonMammal
4,0.028301886792452935,years,VertNonMammal
5,0.11650485436893199,years,VertNonMammal
6,0.09157509157509158,years,VertNonMammal
7,0.10080645161290325,years,VertNonMammal
8,0.10463378176382654,years,VertNonMammal
9,0.13188647746243742,years,VertNonMammal
10,0.05769230769230771,years,VertNonMammal
11,0.04489795918367345,years,VertNonMammal
12,0.10256410256410253,years,VertNonMammal
13,0.15714285714285725,years,VertNonMammal
14,0.16666666666666652,years,VertNonMammal
15,0.16271186440677965,years,VertNonMammal
16,0.19838056680161953,years,VertNonMammal
17,0.24747474747474751,years,VertNonMammal
